medicine_name,composition,medicine_type,price,quantity_available,pharmacy,prescription_required
Vitamin D3 20mg Tablet,Vitamin D3 20mg,Tablet,186.31,209,Wellness Forever,False
Diclofenac 100mg Drops,Diclofenac 100mg,Drops,582.78,103,Wellness Forever,True
Telmisartan 100mg Ointment,Telmisartan 100mg,Ointment,246.37,209,Guardian Pharmacy,True
Pantoprazole 40mg Capsule,Pantoprazole 40mg,Capsule,62.36,159,MedPlus,False
Losartan 20mg Cream,Losartan 20mg,Cream,77.46,88,Sharma Medical,True
Cetirizine 100mg Cream,Cetirizine 100mg,Cream,396.47,114,MedPlus,False
Aceclofenac 100mg Gel,Aceclofenac 100mg,Gel,39.02,227,Wellness Forever,True
Ofloxacin 10mg Drops,Ofloxacin 10mg,Drops,419.98,207,Apollo Pharmacy,True
Azithromycin 20mg Drops,Azithromycin 20mg,Drops,339.35,196,Sharma Medical,True
Telmisartan 650mg Tablet,Telmisartan 650mg,Tablet,553.45,178,Netmeds,True
Ibuprofen 500mg Syrup,Ibuprofen 500mg,Syrup,162.57,170,Wellness Forever,False
Vitamin D3 250mg Drops,Vitamin D3 250mg,Drops,398.05,178,Netmeds,False
Vitamin D3 100mg Gel,Vitamin D3 100mg,Gel,498.85,151,MedPlus,False
Rabeprazole 40mg Gel,Rabeprazole 40mg,Gel,212.58,76,MedPlus,False
Amoxicillin 650mg Tablet,Amoxicillin 650mg,Tablet,330.39,104,Guardian Pharmacy,True
Amoxicillin 10mg Cream,Amoxicillin 10mg,Cream,461.18,59,Guardian Pharmacy,True
Cetirizine 5mg Ointment,Cetirizine 5mg,Ointment,90.24,223,Apollo Pharmacy,False
Aceclofenac 100mg Syrup,Aceclofenac 100mg,Syrup,648.25,212,Sharma Medical,True
Levocetirizine 500mg Gel,Levocetirizine 500mg,Gel,362.9,79,Wellness Forever,False
Telmisartan 20mg Syrup,Telmisartan 20mg,Syrup,336.59,36,MedPlus,True
Metformin 100mg Injection,Metformin 100mg,Injection,28.77,146,Guardian Pharmacy,True
Vitamin D3 200mg Ointment,Vitamin D3 200mg,Ointment,94.79,231,Apollo Pharmacy,False
Azithromycin 40mg Cream,Azithromycin 40mg,Cream,649.74,189,Netmeds,True
Rabeprazole 40mg Drops,Rabeprazole 40mg,Drops,537.29,23,MedPlus,False
Levocetirizine 100mg Capsule,Levocetirizine 100mg,Capsule,309.2,137,Wellness Forever,False
Metformin 650mg Syrup,Metformin 650mg,Syrup,288.01,238,Apollo Pharmacy,True
Amoxicillin 10mg Syrup,Amoxicillin 10mg,Syrup,117.05,87,Sharma Medical,True
Atorvastatin 200mg Gel,Atorvastatin 200mg,Gel,582.96,221,Apollo Pharmacy,True
Pantoprazole 200mg Injection,Pantoprazole 200mg,Injection,187.1,165,Wellness Forever,False
Ofloxacin 200mg Capsule,Ofloxacin 200mg,Capsule,420.95,156,Guardian Pharmacy,True
Metformin 20mg Syrup,Metformin 20mg,Syrup,549.53,149,Apollo Pharmacy,True
Paracetamol 250mg Capsule,Paracetamol 250mg,Capsule,617.17,202,Guardian Pharmacy,False
Pantoprazole 40mg Injection,Pantoprazole 40mg,Injection,406.35,12,Netmeds,False
Losartan 10mg Cream,Losartan 10mg,Cream,320.12,211,Sharma Medical,True
Methylcobalamin 100mg Cream,Methylcobalamin 100mg,Cream,58.56,20,MedPlus,False
Aceclofenac 100mg Drops,Aceclofenac 100mg,Drops,308.31,92,Guardian Pharmacy,True
Metformin 20mg Gel,Metformin 20mg,Gel,480.42,225,Wellness Forever,True
Methylcobalamin 20mg Syrup,Methylcobalamin 20mg,Syrup,340.56,32,Wellness Forever,False
Atorvastatin 500mg Ointment,Atorvastatin 500mg,Ointment,182.65,68,MedPlus,True
Amoxicillin 10mg Tablet,Amoxicillin 10mg,Tablet,615.16,226,Guardian Pharmacy,True
Diclofenac 650mg Injection,Diclofenac 650mg,Injection,531.0,244,Guardian Pharmacy,True
Levocetirizine 650mg Injection,Levocetirizine 650mg,Injection,329.89,136,Netmeds,False
Tramadol 100mg Cream,Tramadol 100mg,Cream,26.79,246,Netmeds,True
Rabeprazole 5mg Ointment,Rabeprazole 5mg,Ointment,149.26,95,Apollo Pharmacy,False
Ibuprofen 100mg Cream,Ibuprofen 100mg,Cream,393.22,220,Sharma Medical,False
Tramadol 200mg Cream,Tramadol 200mg,Cream,17.22,32,Netmeds,True
Metformin 20mg Cream,Metformin 20mg,Cream,499.34,98,Apollo Pharmacy,True
Methylcobalamin 200mg Tablet,Methylcobalamin 200mg,Tablet,136.19,146,Wellness Forever,False
Azithromycin 200mg Drops,Azithromycin 200mg,Drops,299.33,145,Wellness Forever,True
Ofloxacin 650mg Capsule,Ofloxacin 650mg,Capsule,634.1,105,Wellness Forever,True
Levocetirizine 650mg Gel,Levocetirizine 650mg,Gel,139.0,135,Netmeds,False
Rabeprazole 250mg Tablet,Rabeprazole 250mg,Tablet,36.83,187,Wellness Forever,False
Tramadol 650mg Ointment,Tramadol 650mg,Ointment,398.79,136,MedPlus,True
Levocetirizine 650mg Gel,Levocetirizine 650mg,Gel,262.71,162,Sharma Medical,False
Cetirizine 200mg Gel,Cetirizine 200mg,Gel,540.45,141,Netmeds,False
Cefixime 100mg Cream,Cefixime 100mg,Cream,532.45,99,Wellness Forever,True
Amoxicillin 10mg Drops,Amoxicillin 10mg,Drops,520.33,190,Sharma Medical,True
Paracetamol 10mg Ointment,Paracetamol 10mg,Ointment,628.99,205,Guardian Pharmacy,False
Cefixime 250mg Injection,Cefixime 250mg,Injection,384.29,48,Guardian Pharmacy,True
Ofloxacin 650mg Drops,Ofloxacin 650mg,Drops,536.22,67,Apollo Pharmacy,True
Cefixime 5mg Capsule,Cefixime 5mg,Capsule,24.08,85,Netmeds,True
Metformin 5mg Drops,Metformin 5mg,Drops,273.82,203,Guardian Pharmacy,True
Tramadol 650mg Tablet,Tramadol 650mg,Tablet,342.92,148,Wellness Forever,True
Tramadol 20mg Drops,Tramadol 20mg,Drops,622.37,122,Guardian Pharmacy,True
Levocetirizine 10mg Gel,Levocetirizine 10mg,Gel,401.23,54,MedPlus,False
Pantoprazole 5mg Cream,Pantoprazole 5mg,Cream,612.67,81,Wellness Forever,False
Amlodipine 20mg Ointment,Amlodipine 20mg,Ointment,318.11,148,Sharma Medical,True
Pantoprazole 500mg Cream,Pantoprazole 500mg,Cream,377.88,144,Netmeds,False
Methylcobalamin 650mg Gel,Methylcobalamin 650mg,Gel,197.31,78,Sharma Medical,False
Azithromycin 100mg Gel,Azithromycin 100mg,Gel,430.51,196,Netmeds,True
Amlodipine 200mg Injection,Amlodipine 200mg,Injection,184.98,148,Sharma Medical,True
Pantoprazole 500mg Syrup,Pantoprazole 500mg,Syrup,404.8,155,MedPlus,False
Atorvastatin 200mg Tablet,Atorvastatin 200mg,Tablet,155.98,64,Apollo Pharmacy,True
Amoxicillin 20mg Drops,Amoxicillin 20mg,Drops,469.67,30,Sharma Medical,True
Metformin 200mg Tablet,Metformin 200mg,Tablet,635.91,45,Netmeds,True
Tramadol 5mg Ointment,Tramadol 5mg,Ointment,494.27,78,Wellness Forever,True
Cetirizine 500mg Tablet,Cetirizine 500mg,Tablet,428.17,64,Guardian Pharmacy,False
Ibuprofen 40mg Syrup,Ibuprofen 40mg,Syrup,574.87,50,Apollo Pharmacy,False
Methylcobalamin 650mg Ointment,Methylcobalamin 650mg,Ointment,609.56,228,Wellness Forever,False
Ibuprofen 10mg Tablet,Ibuprofen 10mg,Tablet,374.36,32,Wellness Forever,False
Cetirizine 200mg Ointment,Cetirizine 200mg,Ointment,346.52,232,MedPlus,False
Rabeprazole 10mg Ointment,Rabeprazole 10mg,Ointment,135.01,33,Wellness Forever,False
Telmisartan 10mg Ointment,Telmisartan 10mg,Ointment,470.47,8,Sharma Medical,True
Levocetirizine 5mg Cream,Levocetirizine 5mg,Cream,123.97,224,Sharma Medical,False
Methylcobalamin 200mg Drops,Methylcobalamin 200mg,Drops,221.22,107,Sharma Medical,False
Amoxicillin 650mg Syrup,Amoxicillin 650mg,Syrup,316.62,244,MedPlus,True
Paracetamol 40mg Cream,Paracetamol 40mg,Cream,162.26,197,Wellness Forever,False
Levocetirizine 250mg Cream,Levocetirizine 250mg,Cream,178.87,97,Sharma Medical,False
Atorvastatin 500mg Tablet,Atorvastatin 500mg,Tablet,308.92,45,Netmeds,True
Rabeprazole 500mg Cream,Rabeprazole 500mg,Cream,419.5,245,Wellness Forever,False
Vitamin D3 5mg Injection,Vitamin D3 5mg,Injection,622.8,127,MedPlus,False
Aceclofenac 40mg Gel,Aceclofenac 40mg,Gel,459.84,238,Netmeds,True
Losartan 5mg Injection,Losartan 5mg,Injection,446.06,157,Apollo Pharmacy,True
Rabeprazole 200mg Ointment,Rabeprazole 200mg,Ointment,461.0,24,Guardian Pharmacy,False
Amoxicillin 200mg Tablet,Amoxicillin 200mg,Tablet,588.04,56,Guardian Pharmacy,True
Losartan 650mg Syrup,Losartan 650mg,Syrup,221.34,138,Netmeds,True
Amoxicillin 100mg Injection,Amoxicillin 100mg,Injection,70.02,135,Netmeds,True
Ibuprofen 650mg Ointment,Ibuprofen 650mg,Ointment,339.45,121,Guardian Pharmacy,False
Ibuprofen 10mg Ointment,Ibuprofen 10mg,Ointment,473.45,106,Wellness Forever,False
Paracetamol 500mg Injection,Paracetamol 500mg,Injection,40.89,93,Sharma Medical,False
Azithromycin 500mg Tablet,Azithromycin 500mg,Tablet,641.16,125,Apollo Pharmacy,True
Cetirizine 650mg Drops,Cetirizine 650mg,Drops,502.6,201,Sharma Medical,False
Diclofenac 40mg Gel,Diclofenac 40mg,Gel,298.17,239,Netmeds,True
Methylcobalamin 200mg Capsule,Methylcobalamin 200mg,Capsule,96.85,225,Wellness Forever,False
Amoxicillin 200mg Syrup,Amoxicillin 200mg,Syrup,262.77,37,Sharma Medical,True
Atorvastatin 250mg Tablet,Atorvastatin 250mg,Tablet,636.28,123,Sharma Medical,True
Losartan 200mg Drops,Losartan 200mg,Drops,253.98,63,MedPlus,True
Aceclofenac 650mg Gel,Aceclofenac 650mg,Gel,187.86,244,Sharma Medical,True
Amoxicillin 40mg Tablet,Amoxicillin 40mg,Tablet,404.32,244,Apollo Pharmacy,True
Atorvastatin 500mg Injection,Atorvastatin 500mg,Injection,76.37,13,Netmeds,True
Ofloxacin 5mg Tablet,Ofloxacin 5mg,Tablet,484.47,107,Netmeds,True
Atorvastatin 250mg Injection,Atorvastatin 250mg,Injection,101.41,79,MedPlus,True
Cefixime 20mg Gel,Cefixime 20mg,Gel,163.14,229,MedPlus,True
Rabeprazole 40mg Injection,Rabeprazole 40mg,Injection,203.72,20,Guardian Pharmacy,False
Cefixime 40mg Syrup,Cefixime 40mg,Syrup,366.63,17,Wellness Forever,True
Methylcobalamin 40mg Gel,Methylcobalamin 40mg,Gel,272.47,81,Netmeds,False
Telmisartan 5mg Ointment,Telmisartan 5mg,Ointment,553.88,81,Sharma Medical,True
Metformin 250mg Ointment,Metformin 250mg,Ointment,370.8,111,Guardian Pharmacy,True
Rabeprazole 40mg Syrup,Rabeprazole 40mg,Syrup,166.94,57,Wellness Forever,False
Azithromycin 20mg Ointment,Azithromycin 20mg,Ointment,70.99,190,MedPlus,True
Ibuprofen 40mg Cream,Ibuprofen 40mg,Cream,441.8,159,Apollo Pharmacy,False
Azithromycin 200mg Injection,Azithromycin 200mg,Injection,150.46,58,Wellness Forever,True
Cetirizine 5mg Tablet,Cetirizine 5mg,Tablet,609.91,194,Apollo Pharmacy,False
Tramadol 5mg Injection,Tramadol 5mg,Injection,265.05,66,Guardian Pharmacy,True
Levocetirizine 40mg Cream,Levocetirizine 40mg,Cream,309.47,171,Wellness Forever,False
Cetirizine 20mg Cream,Cetirizine 20mg,Cream,339.18,132,Netmeds,False
Amoxicillin 20mg Ointment,Amoxicillin 20mg,Ointment,595.34,99,Wellness Forever,True
Diclofenac 5mg Tablet,Diclofenac 5mg,Tablet,484.92,9,Wellness Forever,True
Losartan 10mg Drops,Losartan 10mg,Drops,109.24,89,MedPlus,True
Methylcobalamin 100mg Injection,Methylcobalamin 100mg,Injection,363.31,246,Sharma Medical,False
Levocetirizine 100mg Cream,Levocetirizine 100mg,Cream,628.63,169,Sharma Medical,False
Tramadol 650mg Ointment,Tramadol 650mg,Ointment,479.51,95,MedPlus,True
Metformin 650mg Ointment,Metformin 650mg,Ointment,596.98,143,Sharma Medical,True
Ibuprofen 500mg Tablet,Ibuprofen 500mg,Tablet,615.03,176,Apollo Pharmacy,False
Paracetamol 650mg Drops,Paracetamol 650mg,Drops,549.54,64,Apollo Pharmacy,False
Metformin 5mg Tablet,Metformin 5mg,Tablet,334.66,100,Apollo Pharmacy,True
Ofloxacin 100mg Ointment,Ofloxacin 100mg,Ointment,22.04,141,Guardian Pharmacy,True
Diclofenac 250mg Tablet,Diclofenac 250mg,Tablet,349.77,75,Guardian Pharmacy,True
Cetirizine 200mg Tablet,Cetirizine 200mg,Tablet,530.79,177,Netmeds,False
Telmisartan 500mg Capsule,Telmisartan 500mg,Capsule,346.56,66,MedPlus,True
Ofloxacin 20mg Cream,Ofloxacin 20mg,Cream,182.55,106,Apollo Pharmacy,True
Vitamin D3 100mg Drops,Vitamin D3 100mg,Drops,372.47,183,MedPlus,False
Cetirizine 250mg Capsule,Cetirizine 250mg,Capsule,71.65,102,Netmeds,False
Losartan 250mg Ointment,Losartan 250mg,Ointment,418.25,184,MedPlus,True
Azithromycin 40mg Ointment,Azithromycin 40mg,Ointment,423.45,89,Guardian Pharmacy,True
Amoxicillin 5mg Tablet,Amoxicillin 5mg,Tablet,146.88,227,Sharma Medical,True
Cefixime 10mg Ointment,Cefixime 10mg,Ointment,41.71,24,Sharma Medical,True
Pantoprazole 650mg Tablet,Pantoprazole 650mg,Tablet,604.55,85,Apollo Pharmacy,False
Amlodipine 40mg Syrup,Amlodipine 40mg,Syrup,604.62,81,MedPlus,True
Cefixime 40mg Injection,Cefixime 40mg,Injection,443.95,143,Wellness Forever,True
Methylcobalamin 500mg Syrup,Methylcobalamin 500mg,Syrup,331.51,93,Apollo Pharmacy,False
Amoxicillin 5mg Drops,Amoxicillin 5mg,Drops,547.07,92,Guardian Pharmacy,True
Ofloxacin 20mg Drops,Ofloxacin 20mg,Drops,30.9,74,Netmeds,True
Tramadol 20mg Injection,Tramadol 20mg,Injection,364.84,101,Netmeds,True
Telmisartan 500mg Drops,Telmisartan 500mg,Drops,504.64,80,MedPlus,True
Azithromycin 10mg Capsule,Azithromycin 10mg,Capsule,110.39,187,Sharma Medical,True
Metformin 20mg Drops,Metformin 20mg,Drops,242.13,28,Apollo Pharmacy,True
Cetirizine 20mg Ointment,Cetirizine 20mg,Ointment,497.74,31,MedPlus,False
Azithromycin 40mg Syrup,Azithromycin 40mg,Syrup,298.36,147,Guardian Pharmacy,True
Diclofenac 250mg Capsule,Diclofenac 250mg,Capsule,69.18,146,Apollo Pharmacy,True
Ofloxacin 40mg Gel,Ofloxacin 40mg,Gel,19.87,110,Netmeds,True
Azithromycin 200mg Injection,Azithromycin 200mg,Injection,120.19,102,MedPlus,True
Metformin 10mg Cream,Metformin 10mg,Cream,183.24,42,Apollo Pharmacy,True
Telmisartan 10mg Drops,Telmisartan 10mg,Drops,280.66,128,Apollo Pharmacy,True
Vitamin D3 5mg Cream,Vitamin D3 5mg,Cream,471.93,131,Guardian Pharmacy,False
Ofloxacin 100mg Injection,Ofloxacin 100mg,Injection,80.25,82,Apollo Pharmacy,True
Methylcobalamin 40mg Gel,Methylcobalamin 40mg,Gel,525.0,89,Netmeds,False
Levocetirizine 650mg Drops,Levocetirizine 650mg,Drops,203.68,159,Sharma Medical,False
Amlodipine 20mg Ointment,Amlodipine 20mg,Ointment,125.33,106,Wellness Forever,True
Cetirizine 5mg Ointment,Cetirizine 5mg,Ointment,219.92,76,Netmeds,False
Vitamin D3 5mg Capsule,Vitamin D3 5mg,Capsule,389.84,144,MedPlus,False
Losartan 100mg Tablet,Losartan 100mg,Tablet,613.62,58,Netmeds,True
Cetirizine 40mg Capsule,Cetirizine 40mg,Capsule,441.36,40,Sharma Medical,False
Cetirizine 10mg Injection,Cetirizine 10mg,Injection,432.23,188,Netmeds,False
Methylcobalamin 100mg Capsule,Methylcobalamin 100mg,Capsule,644.07,127,Guardian Pharmacy,False
Methylcobalamin 200mg Drops,Methylcobalamin 200mg,Drops,35.46,97,Sharma Medical,False
Losartan 500mg Capsule,Losartan 500mg,Capsule,502.59,173,Sharma Medical,True
Vitamin D3 250mg Syrup,Vitamin D3 250mg,Syrup,371.33,170,Sharma Medical,False
Methylcobalamin 40mg Gel,Methylcobalamin 40mg,Gel,79.59,30,Wellness Forever,False
Atorvastatin 100mg Injection,Atorvastatin 100mg,Injection,250.69,123,Sharma Medical,True
Cefixime 20mg Syrup,Cefixime 20mg,Syrup,648.53,128,Apollo Pharmacy,True
Cetirizine 500mg Drops,Cetirizine 500mg,Drops,86.05,245,Sharma Medical,False
Metformin 10mg Gel,Metformin 10mg,Gel,230.88,205,MedPlus,True
Rabeprazole 20mg Ointment,Rabeprazole 20mg,Ointment,315.79,117,Sharma Medical,False
Aceclofenac 500mg Gel,Aceclofenac 500mg,Gel,203.57,212,Sharma Medical,True
Amoxicillin 20mg Tablet,Amoxicillin 20mg,Tablet,425.4,178,MedPlus,True
Atorvastatin 200mg Syrup,Atorvastatin 200mg,Syrup,114.17,148,Netmeds,True
Aceclofenac 40mg Injection,Aceclofenac 40mg,Injection,413.79,52,Sharma Medical,True
Diclofenac 250mg Drops,Diclofenac 250mg,Drops,482.45,231,MedPlus,True
Aceclofenac 40mg Drops,Aceclofenac 40mg,Drops,14.84,59,MedPlus,True
Pantoprazole 500mg Capsule,Pantoprazole 500mg,Capsule,522.08,142,MedPlus,False
Vitamin D3 5mg Gel,Vitamin D3 5mg,Gel,303.92,72,Sharma Medical,False
Tramadol 40mg Gel,Tramadol 40mg,Gel,402.01,155,Apollo Pharmacy,True
Vitamin D3 100mg Gel,Vitamin D3 100mg,Gel,405.88,213,Sharma Medical,False
Cetirizine 650mg Capsule,Cetirizine 650mg,Capsule,211.81,66,Wellness Forever,False
Amoxicillin 20mg Syrup,Amoxicillin 20mg,Syrup,454.41,135,Netmeds,True
Diclofenac 40mg Syrup,Diclofenac 40mg,Syrup,281.9,129,Sharma Medical,True
Losartan 200mg Syrup,Losartan 200mg,Syrup,118.46,78,MedPlus,True
Telmisartan 100mg Gel,Telmisartan 100mg,Gel,407.18,226,Wellness Forever,True
Paracetamol 650mg Ointment,Paracetamol 650mg,Ointment,136.49,103,Guardian Pharmacy,False
Rabeprazole 40mg Ointment,Rabeprazole 40mg,Ointment,448.84,111,Sharma Medical,False
Aceclofenac 650mg Ointment,Aceclofenac 650mg,Ointment,64.74,12,MedPlus,True
Cetirizine 10mg Tablet,Cetirizine 10mg,Tablet,155.45,78,MedPlus,False
Aceclofenac 200mg Ointment,Aceclofenac 200mg,Ointment,337.89,151,Apollo Pharmacy,True
Pantoprazole 200mg Gel,Pantoprazole 200mg,Gel,536.83,15,Sharma Medical,False
Aceclofenac 40mg Injection,Aceclofenac 40mg,Injection,77.34,217,Sharma Medical,True
Atorvastatin 250mg Cream,Atorvastatin 250mg,Cream,298.93,94,Apollo Pharmacy,True
Aceclofenac 5mg Capsule,Aceclofenac 5mg,Capsule,145.9,193,Guardian Pharmacy,True
Vitamin D3 650mg Drops,Vitamin D3 650mg,Drops,405.1,205,MedPlus,False
Amlodipine 20mg Tablet,Amlodipine 20mg,Tablet,351.6,157,Guardian Pharmacy,True
Telmisartan 10mg Gel,Telmisartan 10mg,Gel,196.59,73,Guardian Pharmacy,True
Amoxicillin 40mg Syrup,Amoxicillin 40mg,Syrup,598.17,75,Sharma Medical,True
Metformin 5mg Syrup,Metformin 5mg,Syrup,105.3,87,MedPlus,True
Methylcobalamin 650mg Ointment,Methylcobalamin 650mg,Ointment,380.4,73,Sharma Medical,False
Diclofenac 100mg Drops,Diclofenac 100mg,Drops,60.18,208,Apollo Pharmacy,True
Methylcobalamin 20mg Cream,Methylcobalamin 20mg,Cream,302.1,129,Wellness Forever,False
Cefixime 500mg Tablet,Cefixime 500mg,Tablet,478.33,122,Sharma Medical,True
Vitamin D3 200mg Capsule,Vitamin D3 200mg,Capsule,265.74,114,MedPlus,False
Tramadol 20mg Cream,Tramadol 20mg,Cream,540.48,91,Guardian Pharmacy,True
Cefixime 100mg Syrup,Cefixime 100mg,Syrup,514.94,233,Sharma Medical,True
Ibuprofen 500mg Tablet,Ibuprofen 500mg,Tablet,411.5,219,Netmeds,False
Paracetamol 650mg Capsule,Paracetamol 650mg,Capsule,293.54,5,Netmeds,False
Amlodipine 10mg Syrup,Amlodipine 10mg,Syrup,113.43,243,Wellness Forever,True
Azithromycin 10mg Gel,Azithromycin 10mg,Gel,64.58,175,Sharma Medical,True
Telmisartan 40mg Tablet,Telmisartan 40mg,Tablet,411.14,190,Sharma Medical,True
Atorvastatin 500mg Drops,Atorvastatin 500mg,Drops,460.96,5,MedPlus,True
Tramadol 650mg Capsule,Tramadol 650mg,Capsule,390.77,137,Sharma Medical,True
Aceclofenac 250mg Tablet,Aceclofenac 250mg,Tablet,455.79,214,Apollo Pharmacy,True
Diclofenac 100mg Syrup,Diclofenac 100mg,Syrup,57.19,103,Apollo Pharmacy,True
Amoxicillin 20mg Capsule,Amoxicillin 20mg,Capsule,246.5,81,MedPlus,True
Methylcobalamin 650mg Syrup,Methylcobalamin 650mg,Syrup,55.65,149,Apollo Pharmacy,False
Ofloxacin 100mg Syrup,Ofloxacin 100mg,Syrup,236.06,59,Sharma Medical,True
Metformin 100mg Drops,Metformin 100mg,Drops,560.66,27,Apollo Pharmacy,True
Metformin 40mg Capsule,Metformin 40mg,Capsule,236.28,114,Wellness Forever,True
Metformin 10mg Injection,Metformin 10mg,Injection,423.27,68,Guardian Pharmacy,True
Ofloxacin 250mg Cream,Ofloxacin 250mg,Cream,552.96,173,Wellness Forever,True
Amlodipine 40mg Injection,Amlodipine 40mg,Injection,200.56,18,MedPlus,True
Tramadol 500mg Drops,Tramadol 500mg,Drops,165.81,168,Guardian Pharmacy,True
Azithromycin 20mg Tablet,Azithromycin 20mg,Tablet,607.84,38,Netmeds,True
Cefixime 20mg Drops,Cefixime 20mg,Drops,360.58,49,Netmeds,True
Azithromycin 500mg Tablet,Azithromycin 500mg,Tablet,20.8,60,Apollo Pharmacy,True
Ibuprofen 200mg Drops,Ibuprofen 200mg,Drops,194.78,187,Guardian Pharmacy,False
Diclofenac 40mg Drops,Diclofenac 40mg,Drops,64.59,142,Guardian Pharmacy,True
Ofloxacin 10mg Syrup,Ofloxacin 10mg,Syrup,65.33,25,Guardian Pharmacy,True
Amlodipine 200mg Syrup,Amlodipine 200mg,Syrup,220.47,155,Sharma Medical,True
Azithromycin 40mg Cream,Azithromycin 40mg,Cream,477.71,221,MedPlus,True
Ibuprofen 500mg Injection,Ibuprofen 500mg,Injection,601.91,34,Netmeds,False
Ofloxacin 10mg Tablet,Ofloxacin 10mg,Tablet,436.96,173,Sharma Medical,True
Telmisartan 250mg Capsule,Telmisartan 250mg,Capsule,463.64,184,Apollo Pharmacy,True
Telmisartan 20mg Ointment,Telmisartan 20mg,Ointment,345.68,205,Sharma Medical,True
Pantoprazole 20mg Syrup,Pantoprazole 20mg,Syrup,92.98,204,Wellness Forever,False
Amoxicillin 20mg Tablet,Amoxicillin 20mg,Tablet,526.93,74,Guardian Pharmacy,True
Azithromycin 500mg Cream,Azithromycin 500mg,Cream,328.54,135,Wellness Forever,True
Ibuprofen 650mg Ointment,Ibuprofen 650mg,Ointment,246.58,70,Apollo Pharmacy,False
Cefixime 5mg Capsule,Cefixime 5mg,Capsule,484.62,5,Apollo Pharmacy,True
Paracetamol 250mg Injection,Paracetamol 250mg,Injection,312.99,103,MedPlus,False
Telmisartan 200mg Tablet,Telmisartan 200mg,Tablet,524.39,187,Sharma Medical,True
Diclofenac 20mg Injection,Diclofenac 20mg,Injection,170.39,239,Sharma Medical,True
Levocetirizine 500mg Cream,Levocetirizine 500mg,Cream,376.64,35,Guardian Pharmacy,False
Ibuprofen 5mg Syrup,Ibuprofen 5mg,Syrup,525.17,16,Netmeds,False
Azithromycin 10mg Ointment,Azithromycin 10mg,Ointment,505.51,84,Wellness Forever,True
Azithromycin 250mg Ointment,Azithromycin 250mg,Ointment,247.37,79,Guardian Pharmacy,True
Cetirizine 100mg Injection,Cetirizine 100mg,Injection,246.96,131,MedPlus,False
Losartan 650mg Injection,Losartan 650mg,Injection,16.07,109,Apollo Pharmacy,True
Atorvastatin 250mg Gel,Atorvastatin 250mg,Gel,618.73,5,Sharma Medical,True
Methylcobalamin 500mg Cream,Methylcobalamin 500mg,Cream,142.91,65,Netmeds,False
Tramadol 650mg Tablet,Tramadol 650mg,Tablet,466.03,28,Apollo Pharmacy,True
Atorvastatin 20mg Drops,Atorvastatin 20mg,Drops,304.5,196,Apollo Pharmacy,True
Cefixime 200mg Capsule,Cefixime 200mg,Capsule,97.18,214,Netmeds,True
Azithromycin 40mg Tablet,Azithromycin 40mg,Tablet,434.64,38,MedPlus,True
Cetirizine 20mg Cream,Cetirizine 20mg,Cream,602.81,105,Sharma Medical,False
Levocetirizine 100mg Gel,Levocetirizine 100mg,Gel,185.51,24,MedPlus,False
Metformin 650mg Capsule,Metformin 650mg,Capsule,79.41,120,Netmeds,True
Levocetirizine 500mg Drops,Levocetirizine 500mg,Drops,353.92,202,MedPlus,False
Aceclofenac 100mg Cream,Aceclofenac 100mg,Cream,181.08,35,Apollo Pharmacy,True
Telmisartan 250mg Cream,Telmisartan 250mg,Cream,149.18,224,Wellness Forever,True
Metformin 5mg Capsule,Metformin 5mg,Capsule,629.84,106,Guardian Pharmacy,True
Ibuprofen 10mg Cream,Ibuprofen 10mg,Cream,535.22,49,Apollo Pharmacy,False
Methylcobalamin 200mg Ointment,Methylcobalamin 200mg,Ointment,489.27,68,Apollo Pharmacy,False
Aceclofenac 650mg Capsule,Aceclofenac 650mg,Capsule,89.49,20,MedPlus,True
Metformin 40mg Injection,Metformin 40mg,Injection,249.49,166,Sharma Medical,True
Azithromycin 500mg Cream,Azithromycin 500mg,Cream,25.91,21,MedPlus,True
Aceclofenac 500mg Syrup,Aceclofenac 500mg,Syrup,589.44,217,Wellness Forever,True
Amoxicillin 100mg Tablet,Amoxicillin 100mg,Tablet,44.31,241,Guardian Pharmacy,True
Diclofenac 100mg Drops,Diclofenac 100mg,Drops,30.81,179,Netmeds,True
Telmisartan 5mg Gel,Telmisartan 5mg,Gel,591.5,75,Wellness Forever,True
Aceclofenac 250mg Syrup,Aceclofenac 250mg,Syrup,403.8,162,MedPlus,True
Cetirizine 40mg Ointment,Cetirizine 40mg,Ointment,575.21,127,Apollo Pharmacy,False
Azithromycin 40mg Cream,Azithromycin 40mg,Cream,99.56,56,Sharma Medical,True
Rabeprazole 200mg Injection,Rabeprazole 200mg,Injection,519.11,102,Sharma Medical,False
Vitamin D3 200mg Ointment,Vitamin D3 200mg,Ointment,510.56,93,Guardian Pharmacy,False
Rabeprazole 40mg Gel,Rabeprazole 40mg,Gel,184.54,11,Wellness Forever,False
Ofloxacin 250mg Injection,Ofloxacin 250mg,Injection,583.5,204,Wellness Forever,True
Ibuprofen 200mg Ointment,Ibuprofen 200mg,Ointment,240.04,154,MedPlus,False
Telmisartan 5mg Capsule,Telmisartan 5mg,Capsule,431.08,73,Guardian Pharmacy,True
Ibuprofen 40mg Injection,Ibuprofen 40mg,Injection,238.37,219,MedPlus,False
Telmisartan 20mg Injection,Telmisartan 20mg,Injection,526.36,183,Wellness Forever,True
Cefixime 20mg Tablet,Cefixime 20mg,Tablet,616.54,149,MedPlus,True
